('přitom'# 1),jídlo,('mého'# 1)
('rodiči.'# 1),jídlo,('(nepřeceňuji'# 1)
('ostaní'# 1),jídlo,('(při'# 1)
('chvilku'# 1),jídlo,('přemaštěné#'# 1)
('odečíst'# 1),jídlo,('nepotřebovalo'# 1)
('můžu.'# 1),jídlo,('gnochi'# 1)
('preferencí'# 1),jídlo,('taková'# 1)
('snědl.'# 1),jídlo,('nosí'# 1)
('fajn'# 1),jídlo,('(kuřecí'# 1)
('pomohla'# 1),jídlo,('vychutnáte'# 1)
('vybrat'# 1),jídlo,('pod-průměr#'# 1)
('obsluze'# 1),jídlo,('podprůměrné'# 1)
('podotkl#'# 1),jídlo,('chutnalo'# 1)
('mísce'# 1),jídlo,('navíc'# 1)
('definitivně'# 1),jídlo,('pořádně'# 1)
('filo'# 1),jídlo,('spis'# 1)
('jste'# 1),jídlo,('téměř'# 1)
('snad'# 1),jídlo,('tradičně'# 1)
('našlo.'# 1),jídlo,('více'# 1)
('znovu'# 1),jídlo,('nemají'# 1)
('slibovali'# 1),jídlo,('doporučit'# 1)
('pomalá'# 1),jídlo,('též#'# 1)
('unikátní#'# 1),jídlo,('připravovali'# 1)
('vzít'# 1),jídlo,('nestačí.tenhle'# 1)
('obsluhy#'# 1),jídlo,('udělá'# 1)
('přišli.'# 1),jídlo,('chutově'# 1)
('batát.'# 1),jídlo,('vzala'# 1)
('chování.'# 1),jídlo,('také#'# 1)
('minutky'# 1),jídlo,('risotto'# 1)
('konečně'# 1),jídlo,('řecký'# 1)
('pipsu.'# 1),jídlo,('protožeje'# 1)
('nahřáté#'# 1),jídlo,('vychutnám!'# 1)
('hodiny#'# 1),jídlo,('vždycky'# 1)
('kterékoliv'# 1),jídlo,('dostali#'# 1)
('připravil'# 1),jídlo,('taktéž'# 1)
('slušný#'# 1),jídlo,('!!!!!'# 1)
('překvapeni#'# 1),jídlo,('nikdy'# 1)
('pivnice'# 1),jídlo,('nenadchne'# 1)
('útulný.výborné'# 1),jídlo,('rádoby'# 1)
('olivy'# 1),jídlo,('vychutnali'# 1)
('!?)hlavní'# 1),jídlo,('velké'# 1)
('spropitné#'# 1),jídlo,('vizuálně'# 1)
('zkazilo'# 1),jídlo,('(bez'# 1)
('salátem.'# 1),jídlo,('vzhledem'# 1)
('námi#'# 1),jídlo,('víceméně'# 1)
('zabírat'# 1),jídlo,('máte'# 1)
('nebudu!'# 1),jídlo,('nemastné'# 1)
('akorát'# 1),jídlo,('rozdělené'# 1)
('doplnil'# 1),jídlo,('úžasný#'# 1)
('hluboké'# 1),jídlo,('vynikající.musím'# 1)
('jogurtem.'# 1),jídlo,('samo'# 1)
('jíst'# 1),jídlo,('stydět'# 1)
('nedaloveškeré'# 1),jídlo,('zajímavé'# 1)
('donesené'# 1),jídlo,('určite'# 1)
('objednala'# 1),jídlo,('úžasné#'# 1)
('čistá.'# 1),jídlo,('vyrazit'# 1)
('tvářící...'# 1),jídlo,('přesolené#'# 1)
('italská'# 1),jídlo,('většinou'# 1)
('stručně:-'# 1),jídlo,('mělo'# 1)
('hamburger'# 1),jídlo,('nestálo'# 1)
('vše.'# 1),jídlo,('dělaj'# 1)
('později).'# 1),jídlo,('pěkně'# 1)
('shrnul.'# 1),jídlo,('kolegové'# 1)
('chřest'# 1),jídlo,('účtovali'# 1)
('nemáme'# 1),jídlo,('1+.nalákáni'# 1)
('pozorná#'# 1),jídlo,('(zajímavě'# 1)
('baby'# 1),jídlo,('klasický'# 1)
('spolehnout#'# 1),jídlo,('kuře'# 1)
('rámech#'# 1),jídlo,('ryby'# 1)
('stížnosti'# 1),jídlo,('vysoké#'# 1)
('(ostatní'# 1),jídlo,('určitě'# 1)
('nejhorší'# 1),jídlo,('(asi'# 1)
('slanějšíhlavní'# 1),jídlo,('mírně'# 1)
('rychlá'# 1),jídlo,('tvarohovými'# 1)
('klidu'# 1),jídlo,('stroganov#'# 1)
